voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
TextGen_FB,"Hey, how are you?",3,conv_8501m0wtqqeqejbrmce4a8wcebza,2026-08-25 16:05:59+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB_hey-how-are-you_take3.wav,16000,2.016,1.62,2.62,0.13,0.266,-16.58,-23.0,-6.42,-7.29,lufs,False
TextGen_FB,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_4601m0wtr87bepptjbqj3sh53tg2,2026-08-25 16:06:17+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB_just-reading-the-instructions-i_take1.wav,16000,4.572,4.08,5.08,0.25,0.242,-15.17,-23.0,-7.83,-8.44,lufs,False
TextGen_FB,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_0301m0wtrmvweqztbg43zxjnfhvr,2026-08-25 16:06:30+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB_just-reading-the-instructions-i_take2.wav,16000,4.176,3.8,4.8,0.09,0.286,-16.22,-23.0,-6.78,-7.21,lufs,False
TextGen_FB,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_6201m0wts0wbfz0931d52vkybc4w,2026-08-25 16:06:42+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_FB_just-reading-the-instructions-i_take3.wav,16000,3.96,3.36,4.36,0.27,0.33,-14.42,-23.0,-8.58,-9.16,lufs,False
TextGen_MS,"Hey, can you hear me?",1,conv_8401m0ww0rhwem1sq9hhz4bx8eqf,2026-08-25 16:28:24+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MS_hey-can-you-hear-me_take1.wav,16000,1.332,0.84,1.84,0.45,0.042,-12.66,-23.0,-10.34,-11.75,lufs,False
TextGen_MS,"Hey, can you hear me?",2,conv_4001m0ww104ff3d9xhhqjrxhastr,2026-08-25 16:28:32+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MS_hey-can-you-hear-me_take2.wav,16000,1.26,0.7,1.7,0.35,0.21,-12.34,-23.0,-10.66,-11.3,lufs,False
TextGen_MS,"Hey, can you hear me?",3,conv_3701m0ww16p7ehfbhntbwen8wztj,2026-08-25 16:28:38+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MS_hey-can-you-hear-me_take3.wav,16000,1.512,0.96,1.96,0.35,0.202,-12.17,-23.0,-10.83,-12.36,lufs,False
TextGen_MS,"Hey, how are you?",1,conv_5401m0wvzcj8er5t55gks38f4n92,2026-08-25 16:27:39+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_MS_hey-how-are-you_take1.wav,16000,1.44,0.82,1.82,0.43,0.19,-13.39,-23.0,-9.61,-11.63,lufs,False
TextGen_MS,"Hey, how are you?",2,conv_6901m0wvzp0eejgrh0nadp8mv8rv,2026-08-25 16:27:49+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_MS_hey-how-are-you_take2.wav,16000,1.404,1.094,2.094,0.31,0.0,-15.06,-23.0,-7.94,-9.53,lufs,False
TextGen_MS,"Hey, how are you?",3,conv_2701m0wvzyxse0tr54nv9pmyztt7,2026-08-25 16:27:58+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_MS_hey-how-are-you_take3.wav,16000,1.512,0.98,1.98,0.35,0.182,-15.14,-23.0,-7.86,-9.83,lufs,False
TextGen_MS,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_2701m0wvdv0xfv9rjc2am8qdd2hq,2026-08-25 16:18:04+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_MS_just-reading-the-instructions-i_take1.wav,16000,4.248,3.68,4.68,0.37,0.198,-14.31,-23.0,-8.69,-10.09,lufs,False
TextGen_MS,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_0501m0wve9x9fjdar8tmvqd5mqey,2026-08-25 16:18:19+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_MS_just-reading-the-instructions-i_take2.wav,16000,4.248,3.7,4.7,0.33,0.218,-13.6,-23.0,-9.4,-10.98,lufs,False
TextGen_MS,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_0201m0wvek94e66s5cnv706h1cek,2026-08-25 16:18:29+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/TextGen_MS_just-reading-the-instructions-i_take3.wav,16000,4.248,3.74,4.74,0.35,0.158,-12.69,-23.0,-10.31,-11.12,lufs,False
TextGen_MB,"Hey, can you hear me?",1,conv_5201m0ww88acffjrzrk3p6typp4f,2026-08-25 16:32:30+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MB_hey-can-you-hear-me_take1.wav,16000,1.62,1.02,2.02,0.35,0.25,-12.11,-23.0,-10.89,-11.09,lufs,False
TextGen_MB,"Hey, can you hear me?",2,conv_2201m0ww8ggceaq82ge7c7j3m6vp,2026-08-25 16:32:38+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MB_hey-can-you-hear-me_take2.wav,16000,1.584,1.02,2.02,0.39,0.174,-14.63,-23.0,-8.37,-10.18,lufs,False
TextGen_MB,"Hey, can you hear me?",3,conv_9001m0ww8r6cfq885a3f4qhbqkx5,2026-08-25 16:32:46+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_MB_hey-can-you-hear-me_take3.wav,16000,1.476,0.98,1.98,0.31,0.186,-12.97,-23.0,-10.03,-10.12,lufs,False
TextGen_MB,"Hey, how are you?",1,conv_2101m0ww987neba9cxecz13ty9z5,2026-08-25 16:33:02+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_MB_hey-how-are-you_take1.wav,16000,1.656,1.04,2.04,0.37,0.246,-12.5,-23.0,-10.5,-11.02,lufs,False
